#name(unused)                       Position X/Y(float)         offset X/Y
EA_Trax_Text_Pos_1    				-295.0  -170.0 		        -109.0  0.0
EA_Trax_Text_Pos_2    				-295.0  -186.0 		        -109.0  0.0
EA_Trax_Text_Pos_3    				-295.0  -204.0 		        -109.0  0.0
EA_Trax_Text_Pos_4    			    -295.0  -211.0               -109.0  0.0
EA_Trax_Pos_1                       -173.0  -177.0               -109.0  0.0
EA_Trax_Pos_2                       -127.0  -177.0               -109.0  0.0
EA_Trax_Pos_3                       -275.0  -181.0               -109.0  0.0
EA_Trax_Pos_4                       -125.0  -177.0               -109.0  0.0
EA_Trax_Pos_5                       -31.0   -177.0               -109.0  0.0
EA_Trax_Pos_6                       -131.0  -177.0               -109.0  0.0
EA_Trax_Pos_7                       -42.0   -177.0               -109.0  0.0
EA_Trax_Pos_8                       -275.0  -182.0               -109.0  0.0
EA_Trax_Pos_9                       -43.0   -177.0               -109.0  0.0
EA_Trax_Pos_10                      -92.0   -177.0               -109.0  0.0
EA_Trax_Pos_11                      -93.0   -177.0               -109.0  0.0
EA_Trax_Pos_12                       33.0   -177.0               -109.0  0.0
MiniMap_Pos_1                       -223.0   70.0                 -109.0  0.0
MiniMap_Pos_2                       -223.0   142.0                -109.0  0.0
MiniMap_Pos_3                       -223.0   71.0                 -109.0  0.0
MiniMap_Pos_4                       -223.0   143.0                -109.0  0.0
MiniMap_Filter_Pos                  -143.0   196.0                -109.0  0.0
SMS_Bar_Pos                         -248.0  -122.0               -109.0  0.0
SMS_Icon_Pos                        -195.0  -112.0               -109.0  0.0
Drift_Info_Pos_1                    -185.0  -66.0                -109.0  0.0
Drift_Info_Pos_2                    -196.0  -185.0               -109.0  0.0
Drift_Info_Pos_3                    -224.0  -117.0               -109.0  0.0
Tachometer_Pos_1                     142.0   195.0                 119.0  0.0
Tachometer_Pos_2                     199.0   177.0                 119.0  0.0
Tachometer_Pos_3                    -110.0  -26.0                -109.0  0.0
Tachometer_Pos_4                    -254.0   171.0                -109.0  0.0
Tachometer_Pos_5                     205.0   181.0                 119.0  0.0
Tachometer_Pos_6                     168.0   202.0                 119.0  0.0
Tachometer_Pos_7                     207.0   175.0                 119.0  0.0
Tachometer_Pos_8                     160.0   206.0                 119.0  0.0
N2O_Pos_1                            220.0   151.0                 119.0  0.0
N2O_Pos_2                            253.0   117.0                 119.0  0.0
Satellite_Signal_Pos                -263.0   36.0                 -109.0  0.0
Too_Slow_Text_Pos                    285.0   14.0                  119.0  0.0
N2O_Earned_Text_Pos_1                270.0   91.0                  119.0  0.0
N2O_Earned_Text_Pos_2                284.0  -9.0                  119.0  0.0
N2O_Earned_Text_Pos_3                284.0  -2.0                  119.0  0.0
N2O_Earned_Text_Pos_4                295.0  -89.0                 119.0  0.0
N2O_Earned_Text_Pos_5                295.0  -78.0                 119.0  0.0
Outrun_Distance_Pos                 -246.0  -158.0               -109.0  0.0
Outrun_Time_Pos                      224.0  -157.0                119.0  0.0
Leaderboard_Pos_1                    257.0  -182.0                119.0  0.0
Leaderboard_Pos_2                    213.0  -224.0                119.0  0.0
Leaderboard_Pos_3                    196.0  -100.0                119.0  0.0
Leaderboard_Pos_4                    215.0  -159.0                119.0  0.0
Leaderboard_Pos_5                    224.0  -52.0                 119.0  0.0
Leaderboard_Pos_6                    253.0  -149.0                119.0  0.0
Leaderboard_Pos_7                    217.0  -161.0                119.0  0.0
Leaderboard_Pos_8                    240.0  -161.0                119.0  0.0
Leaderboard_Pos_9                    139.0  -163.0                119.0  0.0
Leaderboard_Pos_10                   223.0  -52.0                 119.0  0.0
Leaderboard_Pos_11                   266.0  -180.0                119.0  0.0
Leaderboard_Pos_12                   280.0  -129.0                119.0  0.0
Leaderboard_Pos_13                   275.0  -167.0                119.0  0.0
Leaderboard_Pos_14                   187.0  -190.0                119.0  0.0
Leaderboard_Pos_15                   179.0  -134.0                119.0  0.0
Leaderboard_Pos_16                   242.0  -161.0                119.0  0.0
Leaderboard_Pos_17                   219.0  -161.0                119.0  0.0
Leaderboard_Pos_18                   140.0  -162.0                119.0  0.0
Leaderboard_Pos_19                   223.0  -52.0                 119.0  0.0
Leaderboard_Pos_20                   224.0  -132.0                119.0  0.0
Test_Run_Module_Pos_1                191.0  -127.0                119.0  0.0
Test_Run_Module_Pos_2                201.0  -137.0                119.0  0.0
Bank_Bar_Pos                         227.0  -184.0                119.0  0.0
Bank_Text_Pos                        193.0  -194.0                119.0  0.0
Bank_Reward_Text_Pos                 283.0  -163.0                119.0  0.0
Wrong_Way_Sign_Pos_1                -223.0   34.0                -109.0  0.0
Wrong_Way_Sign_Pos_2                -223.0  -87.0                -109.0  0.0
Wrong_Way_Sign_Pos_3                -223.0  -172.0               -109.0  0.0
